hydro,ror,solar,onwind
0.3519144144144144,0.4723809523809524,0.0007828095033073702,0.20840636157091852
0.3519144144144144,0.4438095238095238,0.0007828095033073702,0.18653034728984097
0.3519144144144144,0.43238095238095237,0.0007828095033073702,0.1810451152223304
0.3519144144144144,0.4247619047619048,0.0007828095033073702,0.17526777020447906
0.3519144144144144,0.4380952380952381,0.0007828095033073702,0.15469003570269393
0.3519144144144144,0.4342857142857143,0.0006653880778112646,0.14326517364492047
0.3519144144144144,0.42095238095238097,0.0006262476026458961,0.1456994482310938
0.3519144144144144,0.42095238095238097,0.0006262476026458961,0.15524180460889322
0.3519144144144144,0.41523809523809524,0.0009785118791342127,0.14462836741317753
0.3519144144144144,0.4057142857142857,0.0212532780147951,0.13359298928919183
0.3519144144144144,0.41904761904761906,0.08329093115190418,0.1593638429081467
0.3519144144144144,0.41523809523809524,0.14489803906219423,0.18536189548847776
0.3519144144144144,0.44761904761904764,0.17499706446436258,0.1970139565076274
0.3519144144144144,0.43238095238095237,0.2032173470585933,0.19746835443037974
0.3519144144144144,0.43047619047619046,0.207327096950957,0.19600778967867574
0.3519144144144144,0.4380952380952381,0.18713061176562684,0.18935410580980203
0.3519144144144144,0.4419047619047619,0.1282633371169126,0.18880233690360274
0.3519144144144144,0.46285714285714286,0.04035382989549493,0.23158065563128855
0.3519144144144144,0.4819047619047619,0.0018787428079376884,0.31859785783836414
0.3519144144144144,0.4742857142857143,7.828095033073701e-05,0.34115546900357024
0.3519144144144144,0.4857142857142857,0.0,0.344466082440766
0.3519144144144144,0.49333333333333335,0.0,0.33784485556637456
0.3519144144144144,0.4876190476190476,0.0,0.34810126582278483
0.3519144144144144,0.4685714285714286,0.0,0.35540408958130476
0.3519144144144144,0.4533333333333333,0.0,0.350210970464135
0.3519144144144144,0.4666666666666667,0.0,0.35692956832197337
0.3519144144144144,0.4838095238095238,0.0,0.31204154495293734
0.3519144144144144,0.4742857142857143,0.0,0.2716325868224602
0.3519144144144144,0.4742857142857143,0.0,0.24501785134696527
0.3519144144144144,0.48,0.0,0.20915287244401168
0.3519144144144144,0.4742857142857143,0.0,0.1783511846802986
0.3519144144144144,0.4742857142857143,0.0,0.15293735800064914
0.3519144144144144,0.47619047619047616,0.0006653880778112646,0.13515092502434276
0.3519144144144144,0.5085714285714286,0.022466632744921524,0.11522233041220382
0.3519144144144144,0.5238095238095238,0.07972914791185565,0.0890295358649789
0.3519144144144144,0.5504761904761905,0.13851814161023915,0.06760791950665368
0.3519144144144144,0.5561904761904762,0.1763669810951505,0.0578708211619604
0.3519144144144144,0.5580952380952381,0.1976202591099456,0.05293735800064914
0.3519144144144144,0.56,0.18924419742455673,0.04878286270691334
0.3519144144144144,0.5714285714285714,0.14732474852244706,0.046802986043492374
0.3519144144144144,0.5733333333333334,0.1093584876120396,0.04930217461863032
0.3519144144144144,0.5771428571428572,0.045089827390504524,0.05232067510548523
0.3519144144144144,0.5866666666666667,0.0026615523112450586,0.0632262252515417
0.3519144144144144,0.6,0.0,0.0780266147354755
0.3519144144144144,0.6076190476190476,0.0,0.08867250892567348
0.3519144144144144,0.6114285714285714,0.0,0.0973385264524505
0.3519144144144144,0.6,0.0,0.09896137617656604
0.3519144144144144,0.5942857142857143,0.0,0.09714378448555663
0.3519144144144144,0.5714285714285714,0.0,0.10155793573515093
0.3519144144144144,0.5371428571428571,0.0,0.11295034079844206
0.3519144144144144,0.5314285714285715,0.0,0.11346965271015903
0.3519144144144144,0.5257142857142857,0.0,0.10915287244401169
0.3519144144144144,0.52,0.0,0.11259331385913664
0.3519144144144144,0.5219047619047619,0.0,0.11674780915287244
0.3519144144144144,0.5161904761904762,0.0,0.11635832521908471
0.3519144144144144,0.52,0.0,0.12203829925348912
0.3519144144144144,0.5314285714285715,0.0005088261771497906,0.12473222979552094
0.3519144144144144,0.5333333333333333,0.03510900622333555,0.11116520610191497
0.3519144144144144,0.539047619047619,0.15331324122274845,0.09522882181110029
0.3519144144144144,0.5561904761904762,0.24603702688950643,0.08198636806231743
0.3519144144144144,0.5619047619047619,0.28145915691416495,0.07906523855890944
0.3519144144144144,0.5676190476190476,0.2980155779091158,0.07900032456994482
0.3519144144144144,0.5619047619047619,0.30564797056636267,0.0789354105809802
0.3519144144144144,0.5619047619047619,0.3227914986887941,0.0783511846802986
0.3519144144144144,0.5638095238095238,0.2745704332850601,0.07338526452450503
0.3519144144144144,0.5714285714285714,0.11362479940506477,0.0712106458941902
0.3519144144144144,0.5828571428571429,0.013660025832713609,0.08263550795196364
0.3519144144144144,0.6019047619047619,0.0021918666092606365,0.08928919182083739
0.3519144144144144,0.6076190476190476,0.0019178832831030568,0.0916910094125284
0.3519144144144144,0.6095238095238096,0.0018787428079376884,0.09246997728010387
0.3519144144144144,0.6,0.0018787428079376884,0.0917234664070107
0.3519144144144144,0.580952380952381,0.0018004618576069513,0.09539110678351184
0.3519144144144144,0.5733333333333334,0.0017221809072762142,0.10496592015579358
0.3519144144144144,0.5752380952380952,0.0017221809072762142,0.11191171697500811
0.3519144144144144,0.5523809523809524,0.0015264785314493719,0.11596884128529698
0.3519144144144144,0.5276190476190477,0.0014090571059532664,0.1195715676728335
0.3519144144144144,0.5314285714285715,0.0014090571059532664,0.12427783187276858
0.3519144144144144,0.539047619047619,0.0014090571059532664,0.12986043492372606
0.3519144144144144,0.5161904761904762,0.0014090571059532664,0.12875689711132748
0.3519144144144144,0.5447619047619048,0.0014090571059532664,0.12259006815968841
0.3519144144144144,0.5619047619047619,0.0012133547301264238,0.11554690035702694
0.3519144144144144,0.580952380952381,0.046068339269638735,0.10678351184680299
0.3519144144144144,0.5847619047619048,0.1803593095620181,0.09782538136968516
0.3519144144144144,0.5771428571428572,0.26552898352185994,0.08487504057124311
0.3519144144144144,0.56,0.3049043015382207,0.07653359298928919
0.3519144144144144,0.5657142857142857,0.32318290344044776,0.07263875365141188
0.3519144144144144,0.5561904761904762,0.3420486124701554,0.07163258682246024
0.3519144144144144,0.5542857142857143,0.35167716936083604,0.07160012982797793
0.3519144144144144,0.5542857142857143,0.2992289326392422,0.07247646867900033
0.3519144144144144,0.5676190476190476,0.1264237347841403,0.06579032781564427
0.3519144144144144,0.6,0.015891032917139614,0.06277182732878936
0.3519144144144144,0.6114285714285714,0.0032877999138909548,0.06088932164881532
0.3519144144144144,0.6076190476190476,0.0026615523112450586,0.06413502109704641
0.3519144144144144,0.6038095238095238,0.0018004618576069513,0.06887374229146381
0.3519144144144144,0.5771428571428572,0.0012524952052917922,0.07724764686790003
0.3519144144144144,0.5714285714285714,0.0012524952052917922,0.08724440116845181
0.3519144144144144,0.539047619047619,0.0012524952052917922,0.09078221356702369
0.3519144144144144,0.5085714285714286,0.0012524952052917922,0.09081467056150601
0.3519144144144144,0.5028571428571429,0.0012524952052917922,0.09318403115871471
0.3519144144144144,0.5085714285714286,0.0012524952052917922,0.09451476793248945
0.3519144144144144,0.5066666666666667,0.0012524952052917922,0.09058747160012982
0.3519144144144144,0.5047619047619047,0.0012524952052917922,0.08627069133398248
0.3519144144144144,0.4876190476190476,0.0012524952052917922,0.07909769555339176
0.3519144144144144,0.5009523809523809,0.0012524952052917922,0.07526777020447907
0.3519144144144144,0.5314285714285715,0.0018787428079376884,0.07546251217137293
0.3519144144144144,0.5466666666666666,0.04669458687228463,0.07250892567348263
0.3519144144144144,0.5485714285714286,0.18501702610669693,0.06403765011359948
0.3519144144144144,0.5219047619047619,0.28106775216251123,0.05868224602401818
0.3519144144144144,0.4876190476190476,0.3224783748874711,0.05524180460889322
0.3519144144144144,0.5123809523809524,0.33398567458608946,0.05358649789029536
0.3519144144144144,0.5333333333333333,0.3409918196406904,0.05004868549172346
0.3519144144144144,0.5371428571428571,0.3357469959685311,0.0444985394352483
0.3519144144144144,0.5352380952380953,0.281146033112842,0.039208049334631616
0.3519144144144144,0.5333333333333333,0.1262671728834788,0.03378773125608569
0.3519144144144144,0.5657142857142857,0.01882656855454225,0.035280753002271986
0.3519144144144144,0.5923809523809523,0.006536459352616541,0.037877312560856864
0.3519144144144144,0.5980952380952381,0.00446201416885201,0.04173969490425187
0.3519144144144144,0.5885714285714285,0.002544130885748953,0.04462836741317754
0.3519144144144144,0.5657142857142857,0.0009002309288034757,0.048588120740019475
0.3519144144144144,0.5504761904761905,0.0008610904536381071,0.05563128854268095
0.3519144144144144,0.5276190476190477,0.0008219499784727387,0.06582278481012659
0.3519144144144144,0.5085714285714286,0.0007828095033073702,0.07163258682246024
0.3519144144144144,0.5028571428571429,0.0007828095033073702,0.07345017851346965
0.3519144144144144,0.5009523809523809,0.0007828095033073702,0.07156767283349562
0.3519144144144144,0.48,0.0007828095033073702,0.07614410905550147
0.3519144144144144,0.4780952380952381,0.0007828095033073702,0.08088283024991885
0.3519144144144144,0.4876190476190476,0.0007828095033073702,0.09061992859461214
0.3519144144144144,0.49523809523809526,0.0008610904536381071,0.09065238558909446
0.3519144144144144,0.5028571428571429,0.0017221809072762142,0.08909444985394352
0.3519144144144144,0.5142857142857142,0.04657716544678853,0.09282700421940929
0.3519144144144144,0.5123809523809524,0.17390113115973227,0.08789354105809802
0.3519144144144144,0.5123809523809524,0.25601784805667543,0.07887049659201557
0.3519144144144144,0.4895238095238095,0.29574543034952444,0.07734501785134697
0.3519144144144144,0.4857142857142857,0.3084660847782692,0.08107757221681272
0.3519144144144144,0.49714285714285716,0.31085365376335666,0.08864005193119118
0.3519144144144144,0.5047619047619047,0.307487572899135,0.09805258033106135
0.3519144144144144,0.49714285714285716,0.2566440956593213,0.11012658227848102
0.3519144144144144,0.49714285714285716,0.11475987318486046,0.1293411230120091
0.3519144144144144,0.5276190476190477,0.015538768640651297,0.1515741642323921
0.3519144144144144,0.5657142857142857,0.0028181142119065327,0.16874391431353455
0.3519144144144144,0.5771428571428572,0.0007828095033073702,0.18847776695877963
0.3519144144144144,0.5695238095238095,0.0007828095033073702,0.20727036676403765
0.3519144144144144,0.5657142857142857,0.0007828095033073702,0.226095423563778
0.3519144144144144,0.5542857142857143,0.0007828095033073702,0.2391755923401493
0.3519144144144144,0.5276190476190477,0.0007828095033073702,0.2543330087633885
0.3519144144144144,0.4857142857142857,0.0007828095033073702,0.2717948717948718
0.3519144144144144,0.48,0.0007828095033073702,0.2911716975008114
0.3519144144144144,0.46285714285714286,0.0007828095033073702,0.2979876663420967
0.3519144144144144,0.4419047619047619,0.0007828095033073702,0.3046738072054528
0.3519144144144144,0.44571428571428573,0.0007828095033073702,0.31788380395975335
0.3519144144144144,0.4438095238095238,0.0007828095033073702,0.32982797792924373
0.3519144144144144,0.44761904761904764,0.0007828095033073702,0.3508925673482636
0.3519144144144144,0.44761904761904764,0.0016047594817801087,0.36955533917559236
0.3519144144144144,0.4361904761904762,0.03514814669850092,0.3829276209023044
0.3519144144144144,0.4361904761904762,0.12074836588516184,0.4070107108081792
0.3519144144144144,0.4666666666666667,0.18278601902227093,0.4155144433625446
0.3519144144144144,0.4419047619047619,0.2144115229558887,0.418370658876988
0.3519144144144144,0.46095238095238095,0.21437238248072332,0.44173969490425186
0.3519144144144144,0.46476190476190476,0.20239539708012055,0.4670561506004544
0.3519144144144144,0.46285714285714286,0.1732748835570864,0.47254138266796497
0.3519144144144144,0.4723809523809524,0.11358565892989941,0.4869198312236287
0.3519144144144144,0.4666666666666667,0.03718345140710008,0.5013956507627394
0.3519144144144144,0.49714285714285716,0.003170378488394849,0.49756572541382665
0.3519144144144144,0.5257142857142857,0.0017221809072762142,0.4981824083089906
0.3519144144144144,0.5257142857142857,0.0017221809072762142,0.5121389159363843
0.3519144144144144,0.5580952380952381,0.0017221809072762142,0.506264199935086
0.3519144144144144,0.5276190476190477,0.0017221809072762142,0.49295683219733855
0.3519144144144144,0.5028571428571429,0.0017221809072762142,0.48390133073677377
0.3519144144144144,0.4838095238095238,0.0017221809072762142,0.4868224602401818
